metric,value,step
agent0/rewards/,-1.1574208736419678,560.0
agent0/rewards/,-1.1901664733886719,564.0
agent0/rewards/,-0.9512506127357483,568.0
agent0/rewards/,-1.2495455741882324,572.0
agent0/rewards/,-0.8985352516174316,576.0
agent0/rewards/,-1.1137720346450806,580.0
agent0/rewards/,-1.1342952251434326,584.0
agent0/rewards/,-0.9804691076278687,588.0
agent0/rewards/,-1.0249764919281006,592.0
agent0/rewards/,-1.1165646314620972,596.0
agent0/rewards/,-1.0572646856307983,600.0
agent0/rewards/,-1.0638374090194702,604.0
agent0/rewards/,-1.186472773551941,608.0
agent0/rewards/,-1.2173187732696533,612.0
agent0/rewards/,-0.9462235569953918,616.0
agent0/rewards/,-1.148106575012207,620.0
agent0/rewards/,-0.922405481338501,624.0
agent0/rewards/,-1.0248050689697266,628.0
agent0/rewards/,-1.0258817672729492,632.0
agent0/rewards/,-1.2964224815368652,636.0
agent0/rewards/,-0.8084815740585327,640.0
agent0/rewards/,-1.0523208379745483,644.0
agent0/rewards/,-0.9704262018203735,648.0
agent0/rewards/,-1.3491958379745483,652.0
agent0/rewards/,-1.1234251260757446,656.0
agent0/rewards/,-0.920049250125885,660.0
agent0/rewards/,-1.0569961071014404,664.0
agent0/rewards/,-1.3289580345153809,668.0
agent0/rewards/,-1.1118899583816528,672.0
agent0/rewards/,-1.0168404579162598,676.0
agent0/rewards/,-0.9948253035545349,680.0
agent0/rewards/,-1.0138015747070312,684.0
agent0/rewards/,-0.8041632175445557,688.0
agent0/rewards/,-1.1136199235916138,692.0
agent0/rewards/,-1.0346628427505493,696.0
agent0/rewards/,-0.9185124635696411,700.0
agent0/rewards/,-1.2666130065917969,704.0
agent0/rewards/,-1.1916133165359497,708.0
agent0/rewards/,-0.9238874316215515,712.0
agent0/rewards/,-1.0709342956542969,716.0
agent0/rewards/,-0.6588784456253052,720.0
agent0/rewards/,-0.9135607481002808,724.0
agent0/rewards/,-0.6578493714332581,728.0
agent0/rewards/,-1.0014172792434692,732.0
agent0/rewards/,-0.9932620525360107,736.0
agent0/rewards/,-1.0015828609466553,740.0
agent0/rewards/,-0.9771444201469421,744.0
agent0/rewards/,-1.0364713668823242,748.0
agent0/rewards/,-0.9897021055221558,752.0
agent0/rewards/,-0.9621228575706482,756.0
agent0/rewards/,-1.0414882898330688,760.0
agent0/rewards/,-1.1652551889419556,764.0
agent0/rewards/,-1.0821561813354492,768.0
agent0/rewards/,-0.9768717288970947,772.0
agent0/rewards/,-0.9982951879501343,776.0
agent0/rewards/,-1.0613878965377808,780.0
agent0/rewards/,-1.2282918691635132,784.0
agent0/rewards/,-1.0274548530578613,788.0
agent0/rewards/,-1.2955527305603027,792.0
agent0/rewards/,-1.0467933416366577,796.0
agent0/rewards/,-1.0306782722473145,800.0
agent0/rewards/,-1.3764674663543701,804.0
agent0/rewards/,-1.1609082221984863,808.0
agent0/rewards/,-0.7254108786582947,812.0
agent0/rewards/,-0.9220350384712219,816.0
agent0/rewards/,-0.818077802658081,820.0
agent0/rewards/,-1.1506494283676147,824.0
agent0/rewards/,-1.2560745477676392,828.0
agent0/rewards/,-1.002074122428894,832.0
agent0/rewards/,-1.2008273601531982,836.0
agent0/rewards/,-0.9474755525588989,840.0
agent0/rewards/,-1.1613101959228516,844.0
agent0/rewards/,-0.9430999755859375,848.0
agent0/rewards/,-0.8573041558265686,852.0
agent0/rewards/,-1.2394267320632935,856.0
agent0/rewards/,-1.0671507120132446,860.0
agent0/rewards/,-1.045718789100647,864.0
agent0/rewards/,-1.0642271041870117,868.0
agent0/rewards/,-1.0896681547164917,872.0
agent0/rewards/,-1.1834408044815063,876.0
agent0/rewards/,-1.0824512243270874,880.0
agent0/rewards/,-1.0109227895736694,884.0
agent0/rewards/,-1.1324790716171265,888.0
agent0/rewards/,-1.4162620306015015,892.0
agent0/rewards/,-0.9297280311584473,896.0
agent0/rewards/,-1.1195734739303589,900.0
agent0/rewards/,-0.9710718393325806,904.0
agent0/rewards/,-1.0203590393066406,908.0
agent0/rewards/,-0.6710992455482483,912.0
agent0/rewards/,-0.9397931098937988,916.0
agent0/rewards/,-1.2488816976547241,920.0
agent0/rewards/,-0.9966925978660583,924.0
agent0/rewards/,-0.8769521117210388,928.0
agent0/rewards/,-1.0902005434036255,932.0
agent0/rewards/,-0.9758288860321045,936.0
agent0/rewards/,-0.9204931259155273,940.0
agent0/rewards/,-0.6485167741775513,944.0
agent0/rewards/,-1.148579716682434,948.0
agent0/rewards/,-1.0260571241378784,952.0
agent0/rewards/,-0.8962474465370178,956.0
agent0/rewards/,-1.034619927406311,960.0
agent0/rewards/,-0.9095425009727478,964.0
agent0/rewards/,-0.8382476568222046,968.0
agent0/rewards/,-0.9933454990386963,972.0
agent0/rewards/,-0.8479251265525818,976.0
agent0/rewards/,-1.1114623546600342,980.0
agent0/rewards/,-0.8302444815635681,984.0
agent0/rewards/,-0.9599888324737549,988.0
agent0/rewards/,-1.317368507385254,992.0
agent0/rewards/,-1.17239248752594,996.0
agent0/rewards/,-1.0465359687805176,1000.0
agent0/rewards/,-1.0196858644485474,1004.0
agent0/rewards/,-0.7038898468017578,1008.0
agent0/rewards/,-1.0636216402053833,1012.0
agent0/rewards/,-0.8306984901428223,1016.0
agent0/rewards/,-0.9594429135322571,1020.0
agent0/rewards/,-0.7612297534942627,1024.0
agent0/rewards/,-1.032112956047058,1028.0
agent0/rewards/,-0.9747090935707092,1032.0
agent0/rewards/,-1.0288232564926147,1036.0
agent0/rewards/,-0.9432922601699829,1040.0
agent0/rewards/,-0.7244043946266174,1044.0
agent0/rewards/,-0.9017407298088074,1048.0
agent0/rewards/,-0.9425879716873169,1052.0
agent0/rewards/,-1.0022178888320923,1056.0
agent0/rewards/,-0.5867183804512024,1060.0
agent0/rewards/,-0.7022246718406677,1064.0
agent0/rewards/,-0.7487676739692688,1068.0
agent0/rewards/,-1.1260781288146973,1072.0
agent0/rewards/,-0.7783896923065186,1076.0
agent0/rewards/,-1.1780503988265991,1080.0
agent0/rewards/,-1.4024877548217773,1084.0
agent0/rewards/,-0.9964191317558289,1088.0
agent0/rewards/,-0.6657816171646118,1092.0
agent0/rewards/,-0.9682943820953369,1096.0
agent0/rewards/,-0.9732981324195862,1100.0
agent0/rewards/,-0.9670788645744324,1104.0
agent0/rewards/,-0.8138425350189209,1108.0
agent0/rewards/,-0.7978365421295166,1112.0
agent0/rewards/,-1.139877438545227,1116.0
agent0/rewards/,-1.0391488075256348,1120.0
agent0/rewards/,-0.955267071723938,1124.0
agent0/rewards/,-1.1422592401504517,1128.0
agent0/rewards/,-0.9807404279708862,1132.0
agent0/rewards/,-1.1335166692733765,1136.0
agent0/rewards/,-1.2588444948196411,1140.0
agent0/rewards/,-0.8212811946868896,1144.0
agent0/rewards/,-0.9434269070625305,1148.0
agent0/rewards/,-1.0128790140151978,1152.0
agent0/rewards/,-0.7972011566162109,1156.0
agent0/rewards/,-0.9750060439109802,1160.0
agent0/rewards/,-1.2574986219406128,1164.0
agent0/rewards/,-0.8218422532081604,1168.0
agent0/rewards/,-0.9225736856460571,1172.0
agent0/rewards/,-0.8429365754127502,1176.0
agent0/rewards/,-1.2061513662338257,1180.0
